username,rating,class,nb_games,title
0laire,581,Debutant,37,
0vitch,698,Debutant,58,
3pidot3,780,Debutant,146,
55etmat,598,Debutant,35,
40tomnbe,509,Debutant,38,
2ni-isuckatchess,445,Debutant,127,
533_kn,791,Debutant,77,
103gilbert,124,Debutant,94,
7sti92,440,Debutant,61,
adelalande,625,Debutant,34,
adel9517,157,Debutant,20,
aarrth,550,Debutant,33,
adelerachou,582,Debutant,34,
aboubakar10,513,Debutant,135,
aarongoatjpeg,613,Debutant,175,
adam47000,207,Debutant,27,
abdelr59,312,Debutant,23,
14remiego,309,Debutant,105,
22tog22,565,Debutant,96,
0gregg,521,Debutant,27,
aallooiissssss,351,Debutant,87,
18bss,416,Debutant,90,
adem920_0,732,Debutant,89,
adangw,711,Debutant,44,
achtuhrpremier,590,Debutant,50,
33nicolas33,361,Debutant,26,
0jd0djs,133,Debutant,42,
1942wasntthatbad,486,Debutant,61,
59ludo800,359,Debutant,64,
0lor1,698,Debutant,21,
27tom27,531,Debutant,35,
12na12,250,Debutant,23,
94juan94,461,Debutant,168,
abdeldz45,381,Debutant,126,
aammenn,422,Debutant,53,
abo_maher313,750,Debutant,36,
aazonn,374,Debutant,20,
acquaroneenzo,224,Debutant,54,
000claus,772,Debutant,40,
2-ruyver,403,Debutant,125,
1math_anime,1186,Intermediaire,40,
67xav,919,Intermediaire,157,
00h20,945,Intermediaire,38,
4-stroom,1129,Intermediaire,443,
26-et-23maxmax,836,Intermediaire,22,
abdel170,812,Intermediaire,99,
4-fro,810,Intermediaire,145,
abel-errac,829,Intermediaire,110,
35cm2,873,Intermediaire,59,
1zirafe,896,Intermediaire,111,
adelmdh59,1024,Intermediaire,105,
1212e,1135,Intermediaire,120,
92ifanaccount,914,Intermediaire,73,
adlo1972,1133,Intermediaire,96,
achille-9,883,Intermediaire,127,
1solit27,889,Intermediaire,57,
ademental,948,Intermediaire,120,
aaaaaaaa623620,980,Intermediaire,80,
000dorian,1014,Intermediaire,27,
acidix7,807,Intermediaire,33,
abberliner69,955,Intermediaire,370,
adaysakemana,847,Intermediaire,332,
19rd11,1123,Intermediaire,37,
3skro,1166,Intermediaire,22,
1septembre,1032,Intermediaire,21,
8sylvain8,878,Intermediaire,160,
adjoevy6,1199,Intermediaire,51,
49jeanjean85,914,Intermediaire,106,
31toulousain,1134,Intermediaire,466,
